image,width,height,used_by_pages
_cpclip0009_zoom50.png,36,20,1
_cpclip0025.png,684,395,1
_cpclip0026.png,748,306,1
_cpclip0027.png,749,597,1
_cpclip0031.png,1109,417,1
_cpclip0032.png,694,598,1
_cpclip0033.png,701,396,1
_cpclip0034.png,703,337,1
_cpclip0035.png,797,336,1
_cpclip0036.png,841,325,1
_cpclip0038.png,901,515,1
_cpclip0039.png,20,21,1
_cpclip0040.png,21,21,1
_cpclip0041.png,21,21,1
_cpclip0042.png,22,21,1
_cpclip0043.png,21,21,1
_cpclip0044.png,21,21,1
_cpclip0045.png,22,21,1
_cpclip0046.png,22,22,1
_cpclip0047.png,23,22,1
_cpclip0048.png,629,113,1
_cpclip0050.png,841,375,1
_cpclip0051.png,841,296,1
_cpclip0052.png,554,365,1
_cpclip0054.png,643,515,1
_cpclip0055.png,1144,622,1
_cpclip0056.png,680,517,1
_cpclip0060.png,790,370,1
_cpclip0061.png,554,516,1
_cpclip0062.png,817,499,1
_cpclip0063.png,629,577,1
_cpclip0064.png,554,516,1
_cpclip0065.png,663,616,1
_cpclip0066.png,778,188,1
_cpclip0067.png,590,282,1
_cpclip0068.png,821,620,1
_cpclip0069.png,719,561,2
_cpclip0070.png,770,589,1
_cpclip0071.png,773,593,1
_cpclip0083.png,623,516,1
_cpclip0084.png,890,499,1
_cpclip0085.png,554,516,1
_cpclip0086.png,1041,489,1
_cpclip0087.png,905,527,1
_cpclip0088.png,296,175,1
_cpclip0089.png,769,222,1
_cpclip0090.png,554,496,1
_cpclip0091.png,554,496,1
_cpclip0092.png,1024,410,1
_cpclip0093.png,992,721,1
_cpclip0094.png,777,164,1
_cpclip0095.png,789,166,1
_cpclip0096.png,884,511,1
_cpclip0101.png,893,511,1
_cpclip0102.png,837,511,1
_cpclip0103.png,832,511,1
_cpclip0104.png,750,336,1
_cpclip0105.png,936,409,1
_cpclip0106.png,696,660,1
_cpclip0107.png,696,596,1
_cpclip0108.png,904,336,1
_cpclip0109.png,750,336,1
_cpclip0110.png,696,597,1
_cpclip0111.png,568,332,1
_cpclip0112.png,696,598,1
_cpclip0113.png,554,496,1
_cpclip0114.png,711,386,1
_cpclip0117.png,698,364,1
_cpclip0118.png,769,595,1
_cpclip0119.png,716,337,1
_cpclip0121.png,26,24,1
_cpclip0122.png,28,25,1
_cpclip0123.png,921,592,1
_cpclip0124.png,1139,806,2
_cpclip0125.png,574,516,1
_cpclip0126.png,854,164,1
_cpclip0127.png,1007,593,1
_cpclip0129.png,767,149,1
_cpclip0130.png,948,589,1
_cpclip0131.png,737,261,1
_cpclip0132.png,751,325,1
_cpclip0133.png,751,252,1
_cpclip0134.png,1162,300,1
_cpclip0135.png,1162,300,1
_cpclip0136.png,1138,486,1
_cpclip0138.png,1208,532,1
_cpclip0139.png,597,517,1
_cpclip0140.png,740,618,1
_cpclip0141.png,1068,668,1
_cpclip0143.png,411,333,1
_cpclip0145.png,846,475,1
_cpclip0146.png,593,517,1
_cpclip0147.png,720,640,1
_cpclip0148.png,891,460,1
_cpclip0149.png,870,724,1
_cpclip0150.png,1092,844,1
_cpclip0151.png,574,516,1
_cpclip0152.png,884,435,1
_cpclip0153.png,1425,759,1
_cpclip0154.png,1404,617,1
_cpclip0155.png,702,679,1
_cpclip0156.png,809,684,1
_cpclip0157.png,596,520,1
_cpclip0159.png,20,30,1
_cpclip0160.png,474,392,1
_cpclip0161.png,633,606,1
_cpclip0162.png,744,330,1
_cpclip0163.png,511,301,1
_cpclip0164.png,489,852,2
_cpclip0165.png,550,199,1
_cpclip0166.png,606,269,1
_cpclip0167.png,505,468,1
_cpclip0168.png,1010,515,1
_cpclip42_0001.png,749,315,1
_cpclip42_0002.png,897,583,1
_cpclip42_0003.png,375,345,1
_cpclip42_0004.png,763,591,1
_cpclip42_0005.png,761,591,1
_cpclip42_0006.png,849,416,1
_cpclip42_0007.png,769,598,1
_cpclip42_0008.png,911,681,1
_cpclip42_0009.png,1008,516,1
_cpclip42_0010.png,1205,943,2
_cpclip42_0013.png,1281,907,1
_cpclip42_0014.png,944,584,1
_cpclip42_0016.png,1203,629,1
_cpclip42_0017.png,1059,567,1
_cppclip0001.png,1138,725,1
_cppclip0002.png,946,758,1
_cppclip0003.png,851,678,1
_cppclip0004.png,595,517,1
_crpclip0001.png,553,566,1
_crpclip0002.png,536,614,1
_crpclip0003.png,536,614,1
_crpclip0004.png,27,28,1
_crpclip0005.png,536,614,1
_crpclip0006.png,536,614,1
_crpclip0007.png,480,591,1
_crpclip0008.png,536,614,1
_crpclip0009.png,339,297,1
_cscclip0008_zoom50.png,459,281,1
_cscclip0009_zoom50.png,680,340,1
_cscclip0010_zoom50.png,683,330,1
_cscclip0011_zoom50.png,807,350,1
_cscclip0012.png,1305,697,1
_cscclip0013.png,519,473,1
_cscclip0014.png,1019,611,1
_cscclip0015.png,1053,710,1
_cscclip0017.png,1046,381,1
_cv1clip0001.png,575,27,1
_cv1clip0002.png,352,300,1
_cv1clip0003.png,352,299,1
_cv1clip0004.png,220,258,1
_cv1clip0005.png,219,260,1
_cvclip0002.png,581,550,1
_cvclip0003.png,942,287,1
_cvclip0004.png,942,467,1
_cvclip0005.png,942,467,1
_cvclip0008.png,432,497,1
_cvclip0009_zoom50.png,203,184,1
_cvclip0010.png,1036,630,1
_cvclip0011.png,1126,661,1
_cvclip0012.png,852,565,1
_cvclip0013.png,800,563,1
_cvclip0014.png,800,567,1
_cvclip0015.png,620,156,1
_cvclip0016.png,689,372,1
_cvclip0017.png,689,348,1
_cvclip0018.png,779,412,1
_cvclip0019.png,795,346,1
_cvclip0020.png,693,374,1
_cvclip0021.png,1025,312,1
_cvclip0023.png,959,561,1
_cvclip0024.png,689,312,1
_cvclip0026.png,20,20,1
_cvclip0027.png,20,20,1
_cvclip0029.png,581,640,1
